Closing Balance,Credit Transactions,Total Credit,Total Debit,Net Balance,Eligibility
10000,10,7000,3000,4000,Eligible
5000,5,3000,2000,1000,Eligible
2000,3,1500,1200,300,Not Eligible
7500,8,4000,2500,1500,Eligible
1000,2,800,900,-100,Not Eligible
3000,4,2500,1500,1000,Eligible
1500,1,200,1300,-1100,Not Eligible
8000,7,5000,1000,4000,Eligible
6000,6,4000,3000,1000,Eligible
2500,4,1800,1600,200,Not Eligible
7000,9,6000,500,5500,Eligible
9000,10,8000,1000,7000,Eligible
4000,5,2500,2000,500,Eligible
3500,3,1500,1200,300,Not Eligible
5000,6,3000,2500,500,Eligible
10000,15,9000,500,8500,Eligible
8000,12,5000,2000,3000,Eligible
1500,2,600,1000,-400,Not Eligible
2500,2,500,2000,-1500,Not Eligible
6000,4,4000,1500,2500,Eligible
3000,3,1500,1000,500,Eligible
5500,5,3000,2500,500,Eligible
2000,2,1500,1000,500,Eligible
1500,1,200,1200,-1000,Not Eligible
5000,7,3500,2000,1500,Eligible
10000,11,6000,4000,2000,Eligible
1200,1,100,1100,-1000,Not Eligible
6000,9,5000,2000,3000,Eligible
8000,10,7000,4000,3000,Eligible
4000,4,1500,2500,-1000,Not Eligible
3000,3,2000,1000,1000,Eligible
7500,8,4500,2000,2500,Eligible
2000,3,1200,800,400,Eligible
9000,10,8000,1000,7000,Eligible
5000,5,3500,1500,2000,Eligible
2500,3,1500,1200,300,Not Eligible
10000,12,9000,1000,8000,Eligible
4000,6,3000,2000,1000,Eligible
3000,4,2200,1500,700,Eligible
1500,2,400,1100,-700,Not Eligible
2000,1,1000,1000,0,Not Eligible
5000,5,2000,2000,0,Not Eligible
9000,9,7000,2000,5000,Eligible
6000,7,5000,3000,2000,Eligible
